ID	분류	화면명	설명	우선순위
SC-141	AI	일정 추천	미팅 시간 추천 결과	P1
SC-142	AI	피드백 모달	AI 결과물 피드백 입력	P1
SC-144	AI	미팅 결과 (요약+전문)	요약/전문/액션아이템 탭	P0
SC-150	어드민	어드민 대시보드	전체 통계	P2
SC-151	어드민	사용자 관리	사용자 목록/제재	P2
SC-152	어드민	신고 관리	신고 목록/처리	P2
SC-153	어드민	공지사항 관리	공지 작성/수정	P2
SC-154	어드민	AI 피드백 관리	피드백 목록/통계 대시보드	P1
SC-160	SSAFY보고서	보고서 대시보드	신청서/결과보고서 목록 및 생성	P0
SC-161	SSAFY보고서	신청서 생성	스터디 신청서 자동 생성 화면	P0
SC-162	SSAFY보고서	결과보고서 생성	월별 결과보고서 자동 생성 화면	P0
SC-163	SSAFY보고서	보고서 미리보기	생성된 보고서 미리보기/수정	P0
SC-164	SSAFY보고서	보고서 이력	월별 보고서 생성 이력 조회	P1
SC-170	출석	출석 현황	BLE 출석 실시간 현황 화면	P1
SC-171	출석	출석 캘린더	월별 출석 기록 캘린더	P1
SC-172	출석	세션 메모	오프라인 스터디 한 줄 메모 화면	P1
SC-173	출석	소명 관리	결석 소명 작성/승인 화면	P2
SC-180	퀴즈대회	대회 목록	퀴즈 대회 탐색 화면	P1
SC-181	퀴즈대회	대회 상세	대회 정보/참가 신청	P1
SC-182	퀴즈대회	대회 대기실	참가자 대기/카운트다운	P1
SC-183	퀴즈대회	대회 진행	실시간 문제 풀이 화면	P1
SC-184	퀴즈대회	대회 결과	순위/점수/오답 확인	P1
SC-185	퀴즈대회	역대 순위	과거 대회별 순위 조회	P2
SC-186	퀴즈대회	내 대회 기록	참여 대회 히스토리	P2
SC-190	퀴즈코스	코스 목록	학습 코스 탐색 화면	P1
SC-191	퀴즈코스	코스 상세	코스 정보/섹션 목록/획득 가능 뱃지	P1
SC-192	퀴즈코스	문제 풀이	섹션 문제 풀이 화면	P1
SC-193	퀴즈코스	제출 결과	점수/해설 확인 화면	P1
SC-194	퀴즈코스	내 진행 현황	코스별 진행 상황 대시보드	P1
SC-200	친구	친구 목록	친구 목록 + 온라인 상태 표시	P1
SC-201	친구	친구 검색	닉네임으로 사용자 검색	P1
SC-202	친구	친구 요청 관리	받은/보낸 친구 요청	P1
SC-203	친구	사용자 프로필 모달	다른 사용자 프로필 조회	P1
SC-204	친구	차단 관리	차단 목록 관리	P2
SC-210	DM	DM 목록	1:1 대화 목록 (사이드바)	P1
SC-211	DM	DM 채팅	1:1 메시지 화면	P1
