ID	분류	기능명	요구사항
U-FR-014-1	스터디 탐색	모집글 수정 불가	스터디 모집글은 등록 후 수정할 수 없다. 변경이 필요하면 삭제 후 재생성해야 한다.
U-FR-014-2	스터디 탐색	모집글 삭제 시 알림	스터디장이 모집글을 삭제하고 새로 생성하면, 기존 확정자와 대기중 신청자에게 새 글 알림이 발송된다. (거절된 사람 제외)
U-FR-014-3	스터디 탐색	확정자 자동 승계	삭제 후 재생성 시, 기존 확정자는 새 스터디에 자동으로 확정자로 등록된다.
U-FR-014-4	스터디 탐색	모집글 템플릿 저장	스터디장은 작성한 모집글을 템플릿으로 저장하고 나중에 불러올 수 있어야 한다.
U-FR-014-5	스터디 탐색	기본 템플릿 제공	시스템은 스터디 유형별 기본 템플릿(알고리즘, CS, 면접, 프로젝트, 자격증, 독서/강의)을 제공해야 한다.
U-FR-015	스터디 탐색	모집 상태	스터디장은 모집 상태를 변경할 수 있어야 한다. 모집 종료일에 자동 종료된다.
U-FR-015-1	스터디 탐색	스터디 상태	스터디 상태는 DRAFT(임시저장), SCHEDULED(모집예정), RECRUITING(모집중), RECRUIT_CLOSED(모집완료/시작대기), PENDING(확정대기), IN_PROGRESS(진행중), COMPLETED(완료), CANCELLED(취소)로 구분된다.
U-FR-015-2	스터디 탐색	조기 모집 종료	모집 인원이 충족되면 스터디장은 모집 마감일 전에 조기 마감할 수 있어야 한다.
U-FR-015-3	스터디 탐색	모집 마감 시 자동 거절	모집 기간 종료 시 대기중(승낙도 거절도 안 한) 신청자는 자동으로 거절 처리되며, "모집 마감으로 거절되었습니다" 알림이 발송된다.
U-FR-015-4	스터디 탐색	인원 충족 시 채널 생성	모집 마감 시 인원이 충족되면 정식 채널이 생성되고 스터디 상태가 RECRUIT_CLOSED(시작 대기)가 된다.
U-FR-015-5	스터디 탐색	인원 부족 시 임시 채널	모집 마감 시 인원이 부족하면 임시 채널이 생성되고 스터디 상태가 PENDING(확정 대기)이 된다.
U-FR-015-6	스터디 탐색	임시 채널	임시 채널은 텍스트 채팅만 가능하며, 미팅/자료실/출석 기능은 제공되지 않는다. 확정자들이 진행 여부를 논의하는 공간이다.
U-FR-015-7	스터디 탐색	모집 연장	인원 부족 시 스터디장은 모집 기간을 1회에 한해 연장할 수 있다. 연장 시 스터디 일정도 재등록해야 한다.
U-FR-015-8	스터디 탐색	연장 후 결정	연장 후에도 인원이 부족하면 스터디장은 해당 인원으로 진행하거나 취소를 결정해야 한다. 추가 연장은 불가능하다.
U-FR-015-9	스터디 탐색	정식 채널 전환	스터디장이 진행을 결정하면 임시 채널이 정식 채널로 전환되고, 기존 대화 내역은 삭제된다.
U-FR-015-10	스터디 탐색	스터디 시작일 자동 전환	스터디 시작일이 되면 RECRUIT_CLOSED 상태에서 IN_PROGRESS 상태로 자동 전환되고, 온라인 스터디의 경우 미팅이 자동 시작된다.
U-FR-016	스터디 탐색	모집글 끌어올리기	스터디장은 일정 기간마다 모집글을 상단에 노출시킬 수 있어야 한다.
U-FR-017	스터디 탐색	찜하기	사용자는 관심 있는 스터디를 찜 목록에 저장할 수 있어야 한다.
U-FR-018	스터디 탐색	추천 스터디	시스템은 사용자의 관심사, 기술스택, 일정을 기반으로 맞춤 스터디를 추천해야 한다.
U-FR-019	스터디 탐색	스터디 댓글	사용자는 스터디 모집글에 댓글 및 대댓글을 작성할 수 있어야 한다.
U-FR-019-1	스터디 탐색	스터디 리뷰 작성	스터디 완주자만 해당 스터디에 대한 리뷰(평점 + 텍스트)를 작성할 수 있어야 한다.
U-FR-019-2	스터디 탐색	사용자 프로필 스터디 구분	사용자 프로필에서 "운영한 스터디"와 "참여한 스터디"가 구분되어 표시되어야 한다.
U-FR-019-3	스터디 탐색	스터디장 평점 집계	스터디장 평점은 해당 사용자가 "운영한 스터디"의 리뷰에서만 집계되어야 한다.
U-FR-019-4	스터디 탐색	이전 스터디 조회	스터디 탐색에서 스터디장을 클릭하면 해당 사용자가 운영한 이전 스터디 목록과 리뷰를 조회할 수 있어야 한다.
U-FR-028	멤버/역할	멤버 목록 조회	사용자는 팀에 속한 모든 멤버의 목록과 온라인 상태를 확인할 수 있어야 한다.
U-FR-029	멤버/역할	자동 추방	시스템은 남은 기간 동안 모두 출석해도 50% 이하의 출석률이 되는 멤버를 자동 추방해야 한다.
U-FR-030	멤버/역할	추방 예고 알림	자동 추방 대상자에게 추방 예정일 3일 전 경고 알림을 발송해야 한다.
U-FR-031	멤버/역할	팀장 위임	팀장은 다른 멤버에게 팀장 권한을 위임할 수 있어야 한다.
U-FR-032	친구	친구 검색	사용자는 닉네임으로 다른 사용자를 검색할 수 있어야 한다. (검색 허용 설정한 사용자만)
U-FR-033	친구	친구 요청	사용자는 다른 사용자에게 친구 요청을 보낼 수 있어야 한다.
U-FR-034	친구	친구 수락/거절	사용자는 받은 친구 요청을 수락하거나 거절할 수 있어야 한다.
U-FR-035	친구	친구 목록	사용자는 친구 목록을 조회할 수 있어야 하며, 친구의 온라인 상태가 표시되어야 한다. 서로 맞팔해야 친구 목록에서 볼 수 있다.
U-FR-036	친구	친구 삭제	사용자는 친구를 삭제할 수 있어야 한다.
U-FR-037	친구	사용자 차단	사용자는 다른 사용자를 차단할 수 있어야 한다. 차단된 사용자는 친구 요청, DM을 보낼 수 없다.
U-FR-038	DM	DM 전송	사용자는 친구에게 1:1 다이렉트 메시지를 전송할 수 있어야 한다.
U-FR-039	DM	DM 목록	사용자는 DM 대화 목록을 조회할 수 있어야 한다.
U-FR-040	DM	DM 읽음 표시	DM 메시지의 읽음/안읽음 상태가 표시되어야 한다.
U-FR-041	DM	DM 알림	새 DM 수신 시 알림이 발송되어야 한다.
U-FR-042	채널	채널 생성	팀장/관리자는 텍스트 채널 또는 음성 채널을 생성할 수 있어야 한다.
U-FR-043	채널	채널 카테고리	채널들을 카테고리로 그룹화하여 정리할 수 있어야 한다.
U-FR-044	채널	채널 순서 변경	팀장/관리자는 드래그 앤 드롭으로 채널 순서를 변경할 수 있어야 한다.
U-FR-045	채널	채널 설정	팀장/관리자는 채널 이름, 설명, 접근 권한을 설정할 수 있어야 한다.
U-FR-046	채널	채널 삭제	팀장/관리자는 채널을 삭제할 수 있어야 한다.
U-FR-047	채널	비공개 채널	특정 역할/멤버만 접근 가능한 비공개 채널을 만들 수 있어야 한다.
U-FR-050	텍스트 채팅	메시지 전송	사용자는 텍스트 채널에서 실시간으로 메시지를 전송할 수 있어야 한다.
U-FR-051	텍스트 채팅	메시지 수정	사용자는 자신이 보낸 메시지를 수정할 수 있어야 한다.
U-FR-052	텍스트 채팅	메시지 삭제	사용자는 자신이 보낸 메시지를 삭제할 수 있어야 한다. 관리자는 모든 메시지를 삭제할 수 있다.
U-FR-053	텍스트 채팅	마크다운 지원	메시지에서 마크다운 문법(굵게, 기울임, 코드블록 등)을 지원해야 한다.
U-FR-054	텍스트 채팅	코드 블록	백틱(\`\`\`)으로 감싼 코드는 문법 하이라이팅과 함께 표시되어야 한다.
U-FR-055	텍스트 채팅	파일 첨부	사용자는 이미지, 문서 등 파일을 채팅에 첨부할 수 있어야 한다.
U-FR-056	텍스트 채팅	멘션	사용자는 @닉네임으로 특정 멤버를 멘션할 수 있어야 하며, 멘션된 사용자에게 알림이 가야 한다.
U-FR-057	텍스트 채팅	이모지 반응	사용자는 메시지에 이모지로 반응할 수 있어야 한다.
U-FR-058	텍스트 채팅	메시지 검색	사용자는 채널 내 메시지를 키워드로 검색할 수 있어야 한다.
U-FR-059	텍스트 채팅	메시지 고정	중요한 메시지를 고정하여 쉽게 찾을 수 있어야 한다.
U-FR-060	음성/화상	음성 채널 입장	사용자는 음성 채널에 입장하여 실시간 음성 대화를 할 수 있어야 한다.
U-FR-061	음성/화상	화상 모드	음성 채널에서 카메라를 켜서 화상 미팅으로 전환할 수 있어야 한다.
U-FR-062	음성/화상	화면 공유	사용자는 자신의 화면을 다른 참가자에게 공유할 수 있어야 한다.
U-FR-063	음성/화상	마이크 ON/OFF	사용자는 마이크를 켜거나 끌 수 있어야 한다.
U-FR-064	음성/화상	카메라 ON/OFF	사용자는 카메라를 켜거나 끌 수 있어야 한다.
U-FR-065	음성/화상	스피커 음소거	사용자는 다른 참가자의 소리를 개별적으로 음소거할 수 있어야 한다.
U-FR-066	음성/화상	참가자 표시	현재 음성 채널에 참가 중인 멤버 목록이 표시되어야 한다.
U-FR-067	음성/화상	발언자 표시	현재 말하고 있는 사람에게 시각적 표시(테두리 강조)가 되어야 한다.
U-FR-068	음성/화상	채널 이동	사용자는 다른 음성 채널로 이동할 수 있어야 한다.
U-FR-069	음성/화상	강제 퇴장	관리자는 음성 채널에서 특정 사용자를 퇴장시킬 수 있어야 한다.
U-FR-070	미팅/AI	미팅 시작	음성/화상 채널에서 '미팅 시작' 버튼을 눌러 공식 미팅을 시작할 수 있어야 한다.
U-FR-071	미팅/AI	미팅 유형 선택	미팅 시작 시 유형(데일리 스탠드업/주간 회고/자유 회의/기타)을 선택할 수 있어야 한다.
U-FR-072	미팅/AI	자동 녹음	미팅이 시작되면 음성이 자동으로 녹음되어야 한다. 참가자들에게 녹음 중임이 표시되어야 한다.
U-FR-073	미팅/AI	미팅 STT	시스템은 미팅 종료 후 녹음 파일을 텍스트로 변환(Speech-to-Text)해야 한다.
U-FR-074	미팅/AI	화자 분리	시스템은 누가 말했는지 구분하여 발언자별로 텍스트를 분리해야 한다.
U-FR-075	미팅/AI	미팅 종료	미팅 종료' 버튼을 눌러 미팅을 종료할 수 있어야 한다. 종료 시 AI 요약이 자동 생성된다.
U-FR-076	미팅/AI	미팅 요약	미팅 종료 후 AI가 전체 대화 내용을 요약하여 제공해야 한다.
U-FR-077	미팅/AI	발언자별 요약	AI는 각 참가자가 말한 내용을 개별적으로 요약해야 한다.
U-FR-078	미팅/AI	액션 아이템 추출	AI는 미팅 내용에서 해야 할 일(액션 아이템)을 자동으로 추출하여 목록으로 제공해야 한다.
U-FR-079	미팅/AI	액션 담당자 지정	추출된 액션 아이템에 담당자를 지정할 수 있어야 한다.
U-FR-080	미팅/AI	미팅 기록 저장	미팅 녹음, 텍스트 변환 결과, AI 요약, 액션 아이템이 모두 저장되어야 한다.
U-FR-081	미팅/AI	미팅 기록 조회	사용자는 과거 미팅 기록을 날짜별, 유형별로 조회할 수 있어야 한다.
U-FR-082	미팅/AI	미팅 기록 공유	미팅 요약을 텍스트 채널에 자동으로 공유하는 옵션이 있어야 한다.
U-FR-083	미팅/AI	미팅 기록 내보내기	미팅 기록을 Markdown, PDF 형식으로 내보낼 수 있어야 한다.
U-FR-090	데일리/회고/자료	데일리 템플릿	데일리 스탠드업 미팅 시 "어제 한 일 / 오늘 할 일 / 블로커" 형식의 템플릿을 제공해야 한다.
U-FR-091	데일리/회고/자료	자동 분류	AI는 각 멤버의 발언을 "어제 한 일 / 오늘 할 일 / 블로커" 카테고리로 자동 분류해야 한다.
U-FR-092	데일리/회고/자료	데일리 리포트 생성	미팅 종료 후 AI가 전체 팀의 데일리 리포트를 자동 생성해야 한다.
U-FR-093	데일리/회고/자료	블로커 하이라이트	AI는 팀원들이 언급한 블로커(장애물)를 별도로 강조하여 표시해야 한다.
U-FR-094	데일리/회고/자료	연속 미참여 알림	특정 멤버가 연속으로 데일리에 참여하지 않으면 팀장에게 알림이 가야 한다.
U-FR-095	데일리/회고/자료	데일리 통계	팀의 데일리 참여율, 평균 미팅 시간 등 통계를 제공해야 한다.
U-FR-100	데일리/회고/자료	회고 생성	팀장/관리자는 새로운 회고 세션을 생성할 수 있어야 한다. (주간/스프린트/월간)
U-FR-101	데일리/회고/자료	회고 템플릿	회고 생성 시 KPT, 4L, Mad/Sad/Glad 등 템플릿을 선택할 수 있어야 한다.
U-FR-102	데일리/회고/자료	회고 아이템 작성	멤버들은 각 카테고리(Keep/Problem/Try 등)에 회고 아이템을 작성할 수 있어야 한다.
U-FR-103	데일리/회고/자료	익명 모드	회고 작성 시 익명 모드를 선택하여 누가 작성했는지 숨길 수 있어야 한다.
U-FR-104	데일리/회고/자료	투표	멤버들은 중요하다고 생각하는 회고 아이템에 투표할 수 있어야 한다.
U-FR-105	데일리/회고/자료	AI 초안 생성	AI는 해당 기간의 데일리 기록, 채팅 내용 등을 분석하여 회고 초안을 자동 생성해야 한다.
U-FR-106	데일리/회고/자료	AI 패턴 분석	AI는 과거 회고들을 분석하여 반복되는 문제, 개선된 점, 팀의 성장 패턴을 리포트로 제공해야 한다.
U-FR-107	데일리/회고/자료	회고 미팅 연동	회고 작성 후 음성 채널에서 회고 미팅을 진행하면, 논의 내용이 해당 회고에 자동 연결되어야 한다.
U-FR-108	데일리/회고/자료	회고 기록 조회	과거 회고 기록을 날짜별로 조회할 수 있어야 한다.
U-FR-130	대시보드	팀 대시보드	팀의 현재 상태를 한눈에 볼 수 있는 대시보드가 제공되어야 한다.
U-FR-131	대시보드	미팅 현황	이번 주 미팅 수, 총 미팅 시간, 참여율이 표시되어야 한다.
U-FR-132	대시보드	활동 타임라인	팀의 최근 활동(메시지, 미팅 등)이 타임라인으로 표시되어야 한다.
U-FR-133	대시보드	주간 리포트	AI가 한 주간의 팀 활동을 요약한 주간 리포트를 자동 생성해야 한다.
U-FR-134	대시보드	개인 리포트	각 멤버의 활동(참여한 미팅, 학습 진도, 기여도 등)을 개인 리포트로 제공해야 한다.
U-FR-136	대시보드	리포트 공유	리포트를 텍스트 채널에 공유하거나 외부로 내보낼 수 있어야 한다.
U-FR-160	알림	인앱 알림	시스템 이벤트에 대한 알림이 앱 내에 표시되어야 한다.
U-FR-161	알림	알림 목록	사용자는 받은 알림 목록을 확인할 수 있어야 한다.
U-FR-162	알림	알림 읽음 처리	알림을 클릭하면 읽음 처리되어야 한다.
U-FR-163	알림	알림 설정	사용자는 알림 유형별로 수신 여부를 설정할 수 있어야 한다.
U-FR-164	알림	데스크톱 알림	브라우저 알림을 통해 앱이 백그라운드에 있어도 알림을 받을 수 있어야 한다.
U-FR-165	알림	이메일 알림	중요한 알림은 이메일로도 발송될 수 있어야 한다.
U-FR-180	설정/연동	Google Calendar 연동	사용자는 Google Calendar를 연동하여 미팅 일정을 자동 등록할 수 있어야 한다.
U-FR-184	설정/연동	캘린더 일정 조회	팀원들의 캘린더 일정을 조회하여 미팅 가능 시간을 확인할 수 있어야 한다.
U-FR-185	설정/연동	Notion 내보내기	미팅 기록, 회고 내용을 Notion 페이지로 내보낼 수 있어야 한다.
U-FR-190	데일리/회고/자료	자료 공유	사용자는 학습 자료(링크, 파일, 영상)를 팀에 공유할 수 있어야 한다.
U-FR-191	데일리/회고/자료	자료 아카이브	공유된 자료는 자료실에 자동으로 아카이브되어야 한다.
U-FR-192	데일리/회고/자료	자료 태그	자료에 태그를 붙여 분류할 수 있어야 한다.
U-FR-193	데일리/회고/자료	자료 폴더	자료를 폴더별로 정리할 수 있어야 한다.
U-FR-194	데일리/회고/자료	자료 검색	제목, 태그, 작성자로 자료를 검색할 수 있어야 한다.
U-FR-195	데일리/회고/자료	북마크	사용자는 중요한 자료를 개인 북마크에 저장할 수 있어야 한다.
U-FR-196	데일리/회고/자료	커리큘럼	팀장은 학습 커리큘럼(주차별 학습 내용)을 등록할 수 있어야 한다.
U-FR-197	데일리/회고/자료	진도 체크	멤버들은 커리큘럼 항목별로 완료 체크를 할 수 있어야 한다.
U-FR-198	데일리/회고/자료	진도 현황	팀장은 전체 멤버의 진도 현황을 대시보드에서 확인할 수 있어야 한다.
U-FR-200	게이미피케이션	출석 포인트	데일리 스탠드업 참여 시 출석 포인트가 부여되어야 한다.
U-FR-201	게이미피케이션	활동 포인트	회고 작성, 자료 공유, 학습 완료 등 활동에 따라 포인트가 부여되어야 한다.
U-FR-202	게이미피케이션	뱃지 시스템	특정 조건 달성 시 뱃지가 부여되어야 한다.
U-FR-203	게이미피케이션	뱃지 목록	획득 가능한 뱃지 목록과 조건을 확인할 수 있어야 한다.
U-FR-204	게이미피케이션	내 뱃지	사용자는 획득한 뱃지를 프로필에 표시할 수 있어야 한다.
U-FR-205	게이미피케이션	팀 내 랭킹	팀 내 포인트 랭킹이 표시되어야 한다.
U-FR-206	게이미피케이션	주간 MVP	매주 가장 많은 기여를 한 멤버가 주간 MVP로 선정되어야 한다.
U-FR-207	게이미피케이션	연속 출석	연속 출석 일수가 표시되고, 연속 기록이 끊기면 알림이 가야 한다.
U-FR-208	게이미피케이션	레벨 시스템	누적 포인트에 따라 레벨이 부여되어야 한다.
U-FR-212	고급AI	일정 추천	AI가 팀원들의 캘린더를 분석하여 최적의 미팅 시간 TOP 3를 추천해야 한다.
U-FR-213	고급AI	일정 추천 이유	AI가 추천한 시간에 대해 "왜 이 시간인지" 설명을 제공해야 한다.
U-FR-214	고급AI	학습 추천	AI가 팀의 활동 패턴을 분석하여 학습 자료나 다음 스텝을 추천해야 한다.
U-FR-217	고급AI	회의록 자동 생성	미팅 종료 후 AI가 정형화된 회의록 형식으로 문서를 자동 생성해야 한다.
U-FR-218	고급AI	감정 분석	AI가 미팅/채팅의 분위기를 분석하여 팀 건강도 지표를 제공해야 한다.
U-FR-219	고급AI	AI 피드백 수집	AI가 생성한 결과물(요약, 액션아이템, 회고 초안 등)에 대해 사용자가 피드백을 남길 수 있어야 한다.
U-FR-219-1	고급AI	피드백 상세 입력	부정 피드백 시 "너무 짧음/너무 김/핵심 누락/잘못된 정보" 등 상세 사유를 선택할 수 있어야 한다.
U-FR-219-2	고급AI	피드백 저장	수집된 피드백은 DB에 저장되어 운영자가 분석할 수 있어야 한다.
U-FR-220	어드민	어드민 대시보드	시스템 관리자는 전체 사용자/팀 통계를 확인할 수 있어야 한다.
U-FR-221	어드민	사용자 관리	관리자는 사용자 목록을 조회하고 계정을 정지/삭제할 수 있어야 한다.
U-FR-222	어드민	팀 관리	관리자는 전체 팀 목록을 조회하고 문제 있는 팀을 제재할 수 있어야 한다.
U-FR-223	어드민	신고 관리	사용자가 신고한 콘텐츠(메시지, 팀 등)를 검토하고 조치할 수 있어야 한다.
U-FR-224	어드민	공지사항	관리자는 전체 사용자에게 공지사항을 발송할 수 있어야 한다.
U-FR-225	어드민	시스템 모니터링	관리자는 서버 상태, API 응답 시간, 에러율 등을 모니터링할 수 있어야 한다.
U-FR-226	어드민	사용 통계	일별/주별/월별 사용자 수, 미팅 수, 메시지 수 등 통계를 확인할 수 있어야 한다.
U-FR-230	완료스터디	스터디 신청서 생성	팀 정보, 멤버 목록, 커리큘럼을 기반으로 스터디 신청서 양식을 자동 생성해야 한다.
U-FR-231	완료스터디	신청서 필드 매핑	신청서에는 주제, 스터디장, 지역/반, 기간, 참석명단, 진행방식, 스터디 목표, 활동계획이 자동 채워져야 한다.
U-FR-232	완료스터디	주차별 활동계획	커리큘럼 데이터를 기반으로 주차별 활동계획이 자동 생성되어야 한다.
U-FR-233	완료스터디	결과보고서 생성	해당 월의 미팅 기록, 데일리 참여, 자료 공유 내역을 기반으로 결과보고서를 자동 생성해야 한다.
U-FR-234	완료스터디	활동내용 자동 작성	날짜별 미팅 내용, 학습 주제, 참석자가 자동으로 활동내용에 기재되어야 한다.
U-FR-235	완료스터디	활동 자료 링크	노션, 깃허브, 자료실 링크가 보고서에 자동 첨부되어야 한다.
U-FR-236	완료스터디	진행 소감 AI 생성	AI가 회고 내용, 미팅 요약을 분석하여 진행 소감 초안을 생성해야 한다.
U-FR-237	완료스터디	참석률 자동 계산	데일리/미팅 참여 데이터를 기반으로 멤버별 참석률이 자동 계산되어야 한다.
U-FR-238	완료스터디	Excel 다운로드	생성된 보고서를 공식 양식(.xlsx)으로 다운로드할 수 있어야 한다.
U-FR-239	완료스터디	보고서 미리보기	다운로드 전 보고서 내용을 미리보기하고 수정할 수 있어야 한다.
U-FR-240	완료스터디	월별 보고서 관리	월별로 생성된 보고서 이력을 조회하고 재생성할 수 있어야 한다.
U-FR-250	출석	BLE 비콘 시작	스터디장은 출석 시작 버튼을 눌러 BLE 비콘 신호를 발신할 수 있어야 한다.
U-FR-251	출석	BLE 출석 체크	스터디원의 앱이 BLE 비콘을 감지하면 자동으로 출석 체크가 되어야 한다.
U-FR-252	출석	셀프 출석	스터디장 미접속 15분 후 셀프 출석이 자동 활성화되어야 한다.
U-FR-252-1	출석	온라인 스터디 자동 시작	온라인 스터디 시간이 되면 미팅이 자동으로 시작되어야 한다. (스터디장 없어도 시작)
U-FR-252-2	출석	온라인 자동 출석	온라인 스터디 미팅 자동 시작 후 10분간 입장하면 자동으로 출석 체크되어야 한다.
U-FR-253	출석	출석 상태 수동 변경	스터디장은 BLE 인식 오류 시 출석 상태를 수동으로 변경할 수 있어야 한다.
U-FR-254	출석	실시간 출석 현황	스터디장은 실시간으로 출석 현황을 확인할 수 있어야 한다.
U-FR-255	출석	출석 캘린더	사용자는 월별 출석 기록을 캘린더 형태로 조회할 수 있어야 한다.
U-FR-256	출석	결석 소명	멤버는 결석에 대한 소명을 작성할 수 있어야 한다.
U-FR-257	출석	소명 승인/거절	스터디장은 소명을 승인하거나 거절할 수 있어야 한다.
U-FR-258	출석	세션 메모 작성	오프라인 스터디 종료 후 참석자들이 한 줄 메모를 작성할 수 있어야 한다.
U-FR-259	출석	세션 메모 조회	멤버들은 해당 세션의 모든 메모를 조회할 수 있어야 한다.
U-FR-260	퀴즈대회	대회 목록 조회	사용자는 진행중/예정/종료된 퀴즈 대회 목록을 조회할 수 있어야 한다.
U-FR-261	퀴즈대회	대회 참여	로그인/비로그인 사용자 모두 퀴즈 대회에 참여할 수 있어야 한다.
U-FR-262	퀴즈대회	닉네임 입력	비로그인 사용자는 참여 시 닉네임을 입력해야 한다.
U-FR-263	퀴즈대회	실시간 퀴즈 풀이	대회 시작 후 문제별 제한시간 내에 답안을 선택해야 한다.
U-FR-264	퀴즈대회	실시간 순위	퀴즈 진행 중 실시간으로 순위가 업데이트되어야 한다.
U-FR-264-1	퀴즈대회	문제별 결과 공개	
U-FR-265	퀴즈대회	대회 결과 조회	각 문제 종료 후 다음 문제로 넘어가기 전에 해당 문제의 참가자별 답안과 정답률을 공개해야 한다. (라이브 진행)
U-FR-266	퀴즈대회	오답 해설	대회 종료 후 틀린 문제와 해설을 확인할 수 있어야 한다.
U-FR-267	퀴즈대회	역대 순위 조회	과거 대회별 전체 순위를 조회할 수 있어야 한다.
U-FR-268	퀴즈대회	내 대회 기록	로그인 사용자는 자신의 대회 참여 기록을 조회할 수 있어야 한다.
U-FR-269	퀴즈대회	퀴즈왕 뱃지	퀴즈 대회 TOP3 달성 시 퀴즈왕 뱃지가 영구 부여되어야 한다.
U-FR-270	퀴즈코스	코스 목록 조회	사용자는 학습 가능한 퀴즈 코스 목록을 조회할 수 있어야 한다.
U-FR-271	퀴즈코스	코스 상세 조회	사용자는 코스 설명, 섹션 목록, 획득 가능 뱃지를 확인할 수 있어야 한다.
U-FR-272	퀴즈코스	섹션 목록 조회	로그인 사용자는 섹션별 진행 상황(잠금/해금, 최고점수)을 확인할 수 있어야 한다.
U-FR-273	퀴즈코스	섹션 문제 조회	해금된 섹션의 문제를 조회할 수 있어야 한다.
U-FR-274	퀴즈코스	섹션 답안 제출	섹션의 모든 문제를 풀고 답안을 제출할 수 있어야 한다.
U-FR-275	퀴즈코스	제출 결과 확인	제출 후 점수, 정답/오답, 해설을 확인할 수 있어야 한다.
U-FR-276	퀴즈코스	섹션 해금	70% 이상 정답 시 다음 섹션이 해금되어야 한다.
U-FR-277	퀴즈코스	코스 완료 뱃지	코스의 모든 섹션 통과 시 해당 코스 마스터 뱃지가 영구 부여되어야 한다.
U-FR-278	퀴즈코스	내 진행 현황	로그인 사용자는 전체 코스별 진행 현황을 조회할 수 있어야 한다.
U-FR-279	퀴즈코스	무제한 재도전	섹션은 불통과 시에도 제한 없이 재도전할 수 있어야 한다.
U-FR-280	게이미피케이션	잔디 그래프	사용자는 GitHub 스타일의 활동 잔디 그래프를 조회할 수 있어야 한다.
U-FR-281	게이미피케이션	활동일 기록	스터디 출석 또는 퀴즈 대회 참여 시 해당 날짜가 활동일로 기록되어야 한다.
U-FR-282	게이미피케이션	스트릭 표시	연속 활동일(스트릭)과 최장 스트릭이 표시되어야 한다.
U-FR-283	게이미피케이션	날짜별 활동 상세	특정 날짜 클릭 시 해당 날짜의 활동 내역을 확인할 수 있어야 한다.
U-FR-284	게이미피케이션	작심삼일 패널티	스터디 3회 연속 불참 시 작심삼일 패널티가 부여되어야 한다.
U-FR-285	게이미피케이션	작심삼일 해제	3일 연속 로그인 시 작심삼일 패널티가 해제되어야 한다.
U-FR-286	게이미피케이션	개근왕 뱃지	스터디 전 세션 출석 시 개근왕 뱃지가 영구 부여되어야 한다.
U-FR-290	퀴즈코스	스터디 카테고리 기반 퀴즈	퀴즈는 스터디 주제 카테고리와 동일한 구조로 제공되어야 한다. (알고리즘/CS기초/프론트엔드/백엔드/인프라/AI·ML/모바일/자격증)
U-FR-291	퀴즈코스	소분류별 퀴즈	각 대분류 내 소분류별(백준, 운영체제, React, Spring, Docker, 정처기 등) 퀴즈가 제공되어야 한다.
